id,date,user,pc,activity
48,2024-01-19 17:15:00,USR0015,PC-0015,Logoff
49,2024-01-19 08:00:00,USR0001,PC-0001,Logon
50,2024-01-19 17:00:00,USR0001,PC-0001,Logoff
51,2024-01-19 23:30:00,USR0005,PC-0005,Logon
52,2024-01-19 23:59:00,USR0005,PC-0005,Logoff
53,2024-01-19 01:00:00,USR0003,PC-0003,Logon
54,2024-01-19 03:00:00,USR0003,PC-0003,Logoff
55,2024-01-20 08:00:00,USR0016,PC-0016,Logon
56,2024-01-20 17:00:00,USR0016,PC-0016,Logoff
57,2024-01-20 08:30:00,USR0017,PC-0017,Logon
58,2024-01-20 17:30:00,USR0017,PC-0017,Logoff
59,2024-01-20 09:00:00,USR0018,PC-0018,Logon
60,2024-01-20 17:45:00,USR0018,PC-0018,Logoff
61,2024-01-20 08:15:00,USR0019,PC-0019,Logon
62,2024-01-20 17:15:00,USR0019,PC-0019,Logoff
63,2024-01-20 08:45:00,USR0020,PC-0020,Logon
64,2024-01-20 17:00:00,USR0020,PC-0020,Logoff
65,2024-01-20 02:00:00,USR0005,PC-0005,Logon
66,2024-01-20 05:00:00,USR0005,PC-0005,Logoff
67,2024-01-20 22:00:00,USR0003,PC-0003,Logon
68,2024-01-20 23:45:00,USR0003,PC-0003,Logoff
69,2024-01-21 08:30:00,USR0021,PC-0021,Logon
70,2024-01-21 17:00:00,USR0021,PC-0021,Logoff
71,2024-01-21 09:00:00,USR0022,PC-0022,Logon
72,2024-01-21 17:30:00,USR0022,PC-0022,Logoff
73,2024-01-21 08:00:00,USR0023,PC-0023,Logon
74,2024-01-21 17:15:00,USR0023,PC-0023,Logoff
75,2024-01-21 08:30:00,USR0024,PC-0024,Logon
76,2024-01-21 17:45:00,USR0024,PC-0024,Logoff
77,2024-01-21 09:15:00,USR0025,PC-0025,Logon
78,2024-01-21 17:00:00,USR0025,PC-0025,Logoff
79,2024-01-21 08:00:00,USR0004,PC-0004,Logon
80,2024-01-21 17:00:00,USR0004,PC-0004,Logoff
81,2024-01-22 08:30:00,USR0026,PC-0026,Logon
82,2024-01-22 17:30:00,USR0026,PC-0026,Logoff
83,2024-01-22 09:00:00,USR0027,PC-0027,Logon
84,2024-01-22 17:00:00,USR0027,PC-0027,Logoff
85,2024-01-22 08:15:00,USR0028,PC-0028,Logon
86,2024-01-22 17:15:00,USR0028,PC-0028,Logoff
87,2024-01-22 08:45:00,USR0029,PC-0029,Logon
88,2024-01-22 17:30:00,USR0029,PC-0029,Logoff
89,2024-01-22 09:00:00,USR0030,PC-0030,Logon
90,2024-01-22 17:45:00,USR0030,PC-0030,Logoff
91,2024-01-22 03:00:00,USR0003,PC-0003,Logon
92,2024-01-22 05:00:00,USR0003,PC-0003,Logoff
93,2024-01-22 01:30:00,USR0005,PC-0005,Logon
94,2024-01-22 04:30:00,USR0005,PC-0005,Logoff
95,2024-01-23 08:00:00,USR0002,PC-0002,Logon
96,2024-01-23 17:00:00,USR0002,PC-0002,Logoff
97,2024-01-23 08:30:00,USR0006,PC-0006,Logon
98,2024-01-23 17:30:00,USR0006,PC-0006,Logoff
99,2024-01-23 09:00:00,USR0007,PC-0007,Logon
100,2024-01-23 17:00:00,USR0007,PC-0007,Logoff
